,,,HOK4K,,HOK4KVIS,
filename,perspective_score_hood,perspective_score_backdoor_left,perspective_score_hood,perspective_score_backdoor_left,perspective_score_hood,perspective_score_backdoor_left
66ee2d88-f403-4821-a370-8a3d72e200f9.jpg,0.27352044,0.43952587,0.9999993,0.9999918,0.22830282,0.49782062
bf7e237e-f12b-4ffc-8d79-6855cc35ea06.jpg,0,0.90268165,1.53E-06,0.99999726,1.69E-05,0.92385095
4c297488-c81f-464d-92bf-1c408333a912.jpg,0,0.9008642,4.47E-07,0.9999995,1.28E-06,0.90343225
6c95ad0b-fda6-42a8-a33d-b430073e1dcd.jpg,0,0.21316168,9.69E-07,0.99870276,8.07E-06,0.20323272
bd806d94-4c2e-4cd2-8e02-5eaba7c7c63e.jpg,0,0.8183882,2.15E-07,0.9999795,4.35E-06,0.86744195
61ccbc54-83c4-4d0e-93ac-d0597a3b886e.jpg,0,0.9008818,2.25E-07,0.9999943,8.49E-07,0.9147431
352f6431-9a7d-4422-bac8-5167174d59bc.jpg,0.22604208,0,0.99999976,9.11E-05,0.26232502,0.0010978271
72d383f0-e0b7-434b-9f0b-237b44812a57.jpg,0,0.7679499,2.86E-07,0.9999975,1.57E-06,0.7449167
a704c560-d39b-4661-8002-e0f1ee6bfa8f.jpg,0,0.347658,3.29E-07,0.99998975,1.64E-06,0.28052765
d585fece-5542-4e7e-9e50-bf2be61f4039.jpg,0.90302414,0,0.9999982,1.25E-08,0.90142494,5.54E-08
e6b818aa-3a26-4e98-9b49-ffae342edd19.jpg,0.33267683,0,0.99999297,7.08E-06,0.33061698,0.0005380374
82066715-479c-4587-96be-0104e008971f.jpg,0.3462817,0,0.99999964,6.96E-08,0.34318057,1.13E-07
bc529dc2-604e-475c-85c1-ae4ed5a7e7ce.jpg,0,0.32939327,6.75E-07,0.9999976,2.84E-07,0.23925593
9bcea8f9-2698-4374-ba2f-82cc39aa90fe.jpg,0,0.9142663,3.80E-06,0.9999547,0.0027956697,0.92306757
ae39e1f7-0e6e-4b56-8357-fcdafb2aaf90.jpg,0.73966116,0,0.9999877,1.51E-08,0.7696062,2.69E-07
b7fd08ba-4d2e-431c-8c18-adbe462d2b0e.jpg,0,0.22141868,2.53E-05,0.99999595,0.012939412,0.19569805
dfd6ea2d-324d-4b7f-b931-9ed6a4be281b.jpg,0.66705203,0,0.99999976,1.83E-07,0.74028283,2.87E-05
8c42dfdd-59bf-4982-8079-bdc0214acd7b.jpg,0,0.9005925,7.68E-07,0.9999826,2.11E-06,0.8967074
287e7e9b-322d-4f8a-b051-c71340fb1e0d.jpg,0,0.8021802,5.22E-06,0.99999774,3.94E-06,0.85960436
10f490ed-8425-4ed1-bf30-6a9d03b236dd.jpg,0.9044205,0,0.999982,1.84E-06,0.9072543,3.66E-05
3302db7d-8dc0-40a0-ad34-b57881722877.jpg,0.30010962,0,0.99999964,3.16E-06,0.28573778,0.00041739992
f5842330-dbe9-4e9e-a636-93bb13db1642.jpg,0.06529913,0.8011084,0.9671104,0.9996124,0.020685837,0.8712282
58324647-6d9d-47ed-957a-e790032bd343.jpg,0.36554217,0,0.9999995,5.93E-06,0.366197,1.25E-05
6852b42a-a710-45b2-b75c-cf31bbbc856d.jpg,0,0.9020861,2.00E-07,0.9999976,3.55E-07,0.8968928
15e6a0e3-bf7b-4cee-8e2d-8dbd76434fec.jpg,0,0.90081424,1.07E-06,0.9999982,5.84E-07,0.9086721
b4e3f724-caf9-4c79-babd-d989994a623b.jpg,0,0.91138506,2.82E-06,0.99997556,0.00067722425,0.91644824
e6c1161b-892b-438c-add6-da84b5454e87.jpg,0.9021916,0,0.99999774,3.07E-08,0.9039121,1.14E-07
9f92d430-bf43-4880-80c1-e78c28836f2e.jpg,0.8460938,0,0.999997,2.61E-05,0.860393,6.96E-05
3d26309d-6cbe-4b63-adec-39f410c06050.jpg,0.48263016,0,0.9999999,1.67E-05,0.5613667,5.20E-05
d3c85ce5-14dc-44b9-ba70-08cbf0f19a53.jpg,0.7411416,0,0.9999993,0.0034745105,0.79464185,0.0016441285
2784b4e9-afde-4b2d-bf73-7d46224e9c48.jpg,0,0.91419643,8.89E-06,0.9999566,0.0002358051,0.9328662
2849e800-67b5-4b93-929c-957ef85c67e5.jpg,0,0.89027494,9.04E-07,0.99999726,1.16E-06,0.8863248
36205e59-a24e-435a-8ba0-66b9f4a50ff6.jpg,0,0.900263,6.39E-07,0.9999974,3.75E-06,0.88901496
0e550d4a-8479-46c6-9f5a-e65d7642f3c8.jpg,0.0760962,0.3203056,0.997703,0.984837,0.056919307,0.28525
b929c9c2-1967-4119-a446-a7f3ce72db8e.jpg,0.2606181,0,0.9999994,2.75E-08,0.29190361,1.31E-05
d3ff83fe-ed85-4958-913b-d1a21268d243.jpg,0.90576065,0,0.99999976,6.36E-07,0.90966386,2.03E-07
1029b889-c65d-4c3f-ae2f-d0c98a0a61fd.jpg,0,0.19292073,1.28E-05,0.99998045,0.0030280494,0.16838594
981d2a64-f89e-4e4e-b863-8908e3b56be9.jpg,0.8999138,0,0.99999964,1.32E-08,0.9051953,2.74E-08
1a413a54-6986-4898-aed2-b9614849a08d.jpg,0.78868467,0.50419253,0.9999999,0.9999975,0.8949035,0.5080711
09d5c93f-a24a-482c-8388-39a672d41131.jpg,0,0.90269625,9.70E-06,0.5818776,7.88E-06,0.8924797
a0951a40-f274-4e1b-b006-ace1fb44ecd8.jpg,0.3791893,0,0.9999999,9.29E-07,0.3944823,1.75E-06
b67ab251-216b-4e22-aba7-e38125c16909.jpg,0,0.9004067,6.66E-07,0.99982184,1.80E-06,0.9136309
e99fec86-518d-4d9a-9c73-e523762da7d7.jpg,0.59349823,0,0.9999999,1.86E-07,0.61807626,0.00023635385
a1f59921-873d-4e8e-a616-2c05a883ff3c.jpg,0.9045945,0,0.99999917,3.29E-08,0.9145624,2.24E-07
2d617fee-8203-49d5-84ab-78bb4872f008.jpg,0.9163973,0,0.9999999,2.17E-07,0.92923135,5.08E-06
bc14f32a-1267-4e51-a54e-441cfa6dd08a.jpg,0.24116579,0,0.9999968,3.16E-08,0.21765685,1.32E-05
2e613c49-0cf1-4fba-8a7f-4a53f165ca23.jpg,0.027812185,0.9161385,0.9999683,0.9998691,0.01592208,0.92689955
62cc0db4-6f71-4ac5-8b4d-31261c7efa62.jpg,0,0.9008742,9.06E-07,0.99997413,3.20E-06,0.90585345
d86203d7-39f3-4d48-a715-12617192103d.jpg,0.90169924,0.54079306,0.99999976,0.99999774,0.91302145,0.573824
07fa4d26-61ba-4d9d-ab8f-1d8da7aead00.jpg,0.90428776,0,0.9999994,6.03E-08,0.9069932,6.89E-07
0f4630d7-425f-43de-8bad-37104c8f11aa.jpg,0,0.9009061,3.09E-07,0.9999852,3.02E-07,0.91201806
21efceb5-172f-49d9-9d1c-2372857a53f1.jpg,0.3639813,0,0.99999905,8.17E-08,0.31289425,1.09E-06
3e538a0d-60d6-407e-bcaa-2f40a0f5aa77.jpg,0.8847584,0,1,0.0033557012,0.8235222,0.006681119
1d21d49a-2495-4b5c-a840-7fd680e5ae9a.jpg,0.13382153,0,0.99999833,3.37E-08,0.12714478,1.24E-07
0f544640-0bff-4758-9953-0d12ddee8cd6.jpg,0.558928,0,0.9999993,5.33E-07,0.5939732,5.56E-05
4abc6e19-0921-4ff8-ad97-a58aa6746f13.jpg,0,0.90214086,4.39E-07,0.999997,8.88E-07,0.8928378
137715c9-fbd6-41b0-8073-b7829df645ed.jpg,0,0.90647936,2.85E-05,0.9984931,4.93E-06,0.82826906
d0ac7d8c-effb-4f70-8db4-4e4b7b7cd907.jpg,0,0.82762647,2.33E-06,0.99999475,6.07E-07,0.8616552
16ba45bf-bda3-4263-8af8-c6d79ce305dc.jpg,0,0.43051013,8.38E-06,0.9997619,4.21E-05,0.33297345
9239e9a0-e16b-4b98-a292-c83da18ce7be.jpg,0.105805285,0.37426475,0.99997056,0.99984694,0.117630176,0.34533384
3c767c3e-ab57-4970-884a-23c38d04ba3a.jpg,0.89930904,0,0.99999714,1.31E-08,0.9023844,5.24E-08
c7d6d989-1e6e-414c-b08a-413c8d8fd65b.jpg,0,0.5535027,0.00010369212,0.9998939,0.00014142632,0.45875368
2845a7ce-92eb-4e6a-9e27-530b97217552.jpg,0.83024883,0.49895835,0.9999987,0.9999995,0.8641145,0.48976678
9b7be5e2-b99e-415c-a7b5-241e7638e61b.jpg,0,0.6993963,8.23E-07,0.9999702,1.17E-06,0.6517244
eff02c8c-4250-4910-b1b5-c0b98ad7ee57.jpg,0.8106961,0.4723568,0.99999976,0.99999976,0.8690594,0.48476622
